name,ec,margin,winner
Alabama,9,Trump +20.04%,R
Alaska,3,Trump +7.77%,R
Arizona,11,Trump +5.63%,R
Arkansas,6,Trump +6.0%,R
California,55,Biden +35.98%,D
Colorado,9,Biden +15.19%,D
Connecticut,7,Biden +28.74%,D
District of Columbia,3,Biden +89.26%,D
Delaware,3,Biden +23.7%,D
Florida,29,Trump +3.09%,R
Georgia,16,Trump +3.44%,R
Hawaii,4,Biden +41.28%,D
Idaho,4,Trump +36.94%,R
Illinois,20,Biden +23.66%,D
Indiana,11,Trump +10.38%,R
Iowa,6,Trump +0.98%,R
Kansas,6,Trump +13.48%,R
Kentucky,8,Trump +20.44%,R
Louisiana,8,Trump +22.6%,R
Maine,2,Biden +15.44%,D
Maine 1st District,1,Biden +23.82%,D
Maine 2nd District,1,Trump +3.84%,R
Maryland,10,Biden +28.44%,D
Massachusetts,11,Biden +38.4%,D
Michigan,16,Biden +2.64%,D
Minnesota,10,Biden +6.88%,D
Mississippi,6,Trump +10.12%,R
Missouri,10,Trump +7.63%,R
Montana,3,Trump +8.93%,R
Nebraska,2,Trump +28.46%,R
Nebraska 1st District,1,Trump +39.4%,R
Nebraska 2nd District,1,Biden +6.1%,D
Nebraska 3rd District,1,Trump +56.0%,R
Nevada,6,Biden +8.21%,D
New Hampshire,4,Biden +10.06%,D
New Jersey,14,Biden +26.2%,D
New Mexico,5,Biden +17.97%,D
New York,29,Biden +29.7%,D
North Carolina,15,Biden +0.8%,D
North Dakota,3,Trump +16.49%,R
Ohio,18,Trump +3.97%,R
Oklahoma,7,Trump +28.39%,R
Oregon,7,Biden +28.24%,D
Pennsylvania,20,Biden +1.16%,D
Rhode Island,4,Biden +25.2%,D
South Carolina,9,Trump +10.87%,R
South Dakota,3,Trump +23.02%,R
Tennessee,11,Trump +15.71%,R
Texas,38,Trump +5.87%,R
Utah,6,Trump +10.58%,R
Vermont,3,Biden +28.37%,D
Virginia,13,Biden +14.27%,D
Washington,12,Biden +32.01%,D
West Virginia,5,Trump +55.91%,R
Wisconsin,10,Biden +1.18%,D
Wyoming,3,Trump +55.12%,R
294,244
