name,ec,margin,winner
Alabama,9,Trump +18.16%,R
Alaska,3,Trump +8.21%,R
Arizona,11,Trump +4.8%,R
Arkansas,6,Trump +5.81%,R
California,55,Biden +33.5%,D
Colorado,9,Biden +14.14%,D
Connecticut,7,Biden +28.29%,D
District of Columbia,3,Biden +89.17%,D
Delaware,3,Biden +23.99%,D
Florida,29,Trump +4.46%,R
Georgia,16,Trump +4.43%,R
Hawaii,4,Biden +39.63%,D
Idaho,4,Trump +38.32%,R
Illinois,20,Biden +21.67%,D
Indiana,11,Trump +11.83%,R
Iowa,6,Trump +1.75%,R
Kansas,6,Trump +13.83%,R
Kentucky,8,Trump +21.48%,R
Louisiana,8,Trump +22.06%,R
Maine,2,Biden +16.46%,D
Maine 1st District,1,Biden +24.07%,D
Maine 2nd District,1,Trump +3.66%,R
Maryland,10,Biden +28.12%,D
Massachusetts,11,Biden +36.83%,D
Michigan,16,Biden +1.15%,D
Minnesota,10,Biden +4.06%,D
Mississippi,6,Trump +11.54%,R
Missouri,10,Trump +8.34%,R
Montana,3,Trump +9.65%,R
Nebraska,2,Trump +29.93%,R
Nebraska 1st District,1,Trump +39.82%,R
Nebraska 2nd District,1,Biden +6.17%,D
Nebraska 3rd District,1,Trump +56.33%,R
Nevada,6,Biden +8.91%,D
New Hampshire,4,Biden +10.11%,D
New Jersey,14,Biden +25.58%,D
New Mexico,5,Biden +17.63%,D
New York,29,Biden +30.41%,D
North Carolina,15,Biden +1.49%,D
North Dakota,3,Trump +19.33%,R
Ohio,18,Trump +3.99%,R
Oklahoma,7,Trump +28.24%,R
Oregon,7,Biden +31.29%,D
Pennsylvania,20,Biden +1.65%,D
Rhode Island,4,Biden +24.77%,D
South Carolina,9,Trump +10.06%,R
South Dakota,3,Trump +23.35%,R
Tennessee,11,Trump +13.04%,R
Texas,38,Trump +4.02%,R
Utah,6,Trump +12.27%,R
Vermont,3,Biden +29.83%,D
Virginia,13,Biden +12.49%,D
Washington,12,Biden +32.63%,D
West Virginia,5,Trump +54.68%,R
Wisconsin,10,Biden +1.79%,D
Wyoming,3,Trump +54.76%,R
294,244
