name,ec,margin,winner
Alabama,9,Trump +17.71%,R
Alaska,3,Trump +7.95%,R
Arizona,11,Trump +3.23%,R
Arkansas,6,Trump +3.54%,R
California,55,Biden +33.09%,D
Colorado,9,Biden +14.94%,D
Connecticut,7,Biden +28.48%,D
District of Columbia,3,Biden +88.69%,D
Delaware,3,Biden +22.15%,D
Florida,29,Trump +3.0%,R
Georgia,16,Trump +3.27%,R
Hawaii,4,Biden +40.13%,D
Idaho,4,Trump +37.67%,R
Illinois,20,Biden +22.66%,D
Indiana,11,Trump +13.22%,R
Iowa,6,Trump +0.39%,R
Kansas,6,Trump +12.39%,R
Kentucky,8,Trump +18.89%,R
Louisiana,8,Trump +22.0%,R
Maine,2,Biden +13.58%,D
Maine 1st District,1,Biden +24.34%,D
Maine 2nd District,1,Trump +3.45%,R
Maryland,10,Biden +28.2%,D
Massachusetts,11,Biden +37.85%,D
Michigan,16,Biden +1.04%,D
Minnesota,10,Biden +4.66%,D
Mississippi,6,Trump +10.11%,R
Missouri,10,Trump +6.21%,R
Montana,3,Trump +10.4%,R
Nebraska,2,Trump +29.91%,R
Nebraska 1st District,1,Trump +41.11%,R
Nebraska 2nd District,1,Biden +6.32%,D
Nebraska 3rd District,1,Trump +55.56%,R
Nevada,6,Biden +7.3%,D
New Hampshire,4,Biden +9.42%,D
New Jersey,14,Biden +25.87%,D
New Mexico,5,Biden +16.79%,D
New York,29,Biden +29.3%,D
North Carolina,15,Biden +0.07%,D
North Dakota,3,Trump +20.56%,R
Ohio,18,Trump +3.8%,R
Oklahoma,7,Trump +28.14%,R
Oregon,7,Biden +28.88%,D
Pennsylvania,20,Biden +3.87%,D
Rhode Island,4,Biden +25.11%,D
South Carolina,9,Trump +10.25%,R
South Dakota,3,Trump +22.69%,R
Tennessee,11,Trump +14.5%,R
Texas,38,Trump +6.05%,R
Utah,6,Trump +10.96%,R
Vermont,3,Biden +29.16%,D
Virginia,13,Biden +14.35%,D
Washington,12,Biden +31.18%,D
West Virginia,5,Trump +54.62%,R
Wisconsin,10,Biden +1.43%,D
Wyoming,3,Trump +54.71%,R
294,244
