name,ec,margin,winner
Alabama,9,Trump +20.36%,R
Alaska,3,Trump +6.36%,R
Arizona,11,Trump +5.78%,R
Arkansas,6,Trump +5.68%,R
California,55,Biden +32.65%,D
Colorado,9,Biden +14.43%,D
Connecticut,7,Biden +27.08%,D
District of Columbia,3,Biden +88.73%,D
Delaware,3,Biden +22.25%,D
Florida,29,Trump +5.17%,R
Georgia,16,Trump +2.44%,R
Hawaii,4,Biden +42.63%,D
Idaho,4,Trump +38.54%,R
Illinois,20,Biden +21.13%,D
Indiana,11,Trump +13.23%,R
Iowa,6,Trump +0.74%,R
Kansas,6,Trump +13.34%,R
Kentucky,8,Trump +20.72%,R
Louisiana,8,Trump +22.09%,R
Maine,2,Biden +15.15%,D
Maine 1st District,1,Biden +24.42%,D
Maine 2nd District,1,Trump +1.94%,R
Maryland,10,Biden +28.44%,D
Massachusetts,11,Biden +37.08%,D
Michigan,16,Biden +2.68%,D
Minnesota,10,Biden +6.14%,D
Mississippi,6,Trump +10.73%,R
Missouri,10,Trump +7.93%,R
Montana,3,Trump +9.45%,R
Nebraska,2,Trump +30.68%,R
Nebraska 1st District,1,Trump +40.32%,R
Nebraska 2nd District,1,Biden +7.09%,D
Nebraska 3rd District,1,Trump +57.09%,R
Nevada,6,Biden +7.04%,D
New Hampshire,4,Biden +11.07%,D
New Jersey,14,Biden +25.68%,D
New Mexico,5,Biden +17.03%,D
New York,29,Biden +31.0%,D
North Carolina,15,Biden +0.86%,D
North Dakota,3,Trump +18.19%,R
Ohio,18,Trump +5.05%,R
Oklahoma,7,Trump +28.67%,R
Oregon,7,Biden +28.6%,D
Pennsylvania,20,Biden +0.06%,D
Rhode Island,4,Biden +24.42%,D
South Carolina,9,Trump +9.42%,R
South Dakota,3,Trump +22.33%,R
Tennessee,11,Trump +12.41%,R
Texas,38,Trump +5.74%,R
Utah,6,Trump +12.05%,R
Vermont,3,Biden +27.23%,D
Virginia,13,Biden +13.34%,D
Washington,12,Biden +31.82%,D
West Virginia,5,Trump +55.57%,R
Wisconsin,10,Biden +0.43%,D
Wyoming,3,Trump +55.41%,R
294,244
