name,ec,margin,winner
Alabama,9,Trump +16.82%,R
Alaska,3,Trump +6.55%,R
Arizona,11,Trump +7.45%,R
Arkansas,6,Trump +6.68%,R
California,55,Biden +33.36%,D
Colorado,9,Biden +15.85%,D
Connecticut,7,Biden +26.61%,D
District of Columbia,3,Biden +89.73%,D
Delaware,3,Biden +21.3%,D
Florida,29,Trump +3.8%,R
Georgia,16,Trump +4.09%,R
Hawaii,4,Biden +40.42%,D
Idaho,4,Trump +38.87%,R
Illinois,20,Biden +21.52%,D
Indiana,11,Trump +12.34%,R
Iowa,6,Biden +0.37%,D
Kansas,6,Trump +13.49%,R
Kentucky,8,Trump +21.68%,R
Louisiana,8,Trump +20.67%,R
Maine,2,Biden +15.79%,D
Maine 1st District,1,Biden +23.58%,D
Maine 2nd District,1,Trump +4.69%,R
Maryland,10,Biden +25.85%,D
Massachusetts,11,Biden +36.37%,D
Michigan,16,Biden +3.59%,D
Minnesota,10,Biden +6.71%,D
Mississippi,6,Trump +11.82%,R
Missouri,10,Trump +6.22%,R
Montana,3,Trump +10.52%,R
Nebraska,2,Trump +31.85%,R
Nebraska 1st District,1,Trump +39.83%,R
Nebraska 2nd District,1,Biden +4.98%,D
Nebraska 3rd District,1,Trump +55.76%,R
Nevada,6,Biden +8.72%,D
New Hampshire,4,Biden +8.74%,D
New Jersey,14,Biden +24.15%,D
New Mexico,5,Biden +18.0%,D
New York,29,Biden +29.88%,D
North Carolina,15,Biden +1.05%,D
North Dakota,3,Trump +20.04%,R
Ohio,18,Trump +4.98%,R
Oklahoma,7,Trump +26.74%,R
Oregon,7,Biden +30.51%,D
Pennsylvania,20,Biden +2.14%,D
Rhode Island,4,Biden +26.52%,D
South Carolina,9,Trump +9.57%,R
South Dakota,3,Trump +24.49%,R
Tennessee,11,Trump +15.31%,R
Texas,38,Trump +5.2%,R
Utah,6,Trump +10.82%,R
Vermont,3,Biden +29.44%,D
Virginia,13,Biden +14.0%,D
Washington,12,Biden +31.94%,D
West Virginia,5,Trump +56.05%,R
Wisconsin,10,Biden +3.61%,D
Wyoming,3,Trump +55.13%,R
300,238
