name,ec,margin,winner
Alabama,9,Trump +21.24%,R
Alaska,3,Trump +7.48%,R
Arizona,11,Trump +4.49%,R
Arkansas,6,Trump +6.14%,R
California,55,Biden +34.34%,D
Colorado,9,Biden +16.69%,D
Connecticut,7,Biden +27.41%,D
District of Columbia,3,Biden +88.8%,D
Delaware,3,Biden +21.06%,D
Florida,29,Trump +4.82%,R
Georgia,16,Trump +3.48%,R
Hawaii,4,Biden +39.1%,D
Idaho,4,Trump +38.21%,R
Illinois,20,Biden +22.28%,D
Indiana,11,Trump +11.95%,R
Iowa,6,Trump +0.64%,R
Kansas,6,Trump +13.73%,R
Kentucky,8,Trump +18.83%,R
Louisiana,8,Trump +21.04%,R
Maine,2,Biden +15.21%,D
Maine 1st District,1,Biden +27.68%,D
Maine 2nd District,1,Trump +2.67%,R
Maryland,10,Biden +26.46%,D
Massachusetts,11,Biden +35.75%,D
Michigan,16,Biden +1.17%,D
Minnesota,10,Biden +4.61%,D
Mississippi,6,Trump +10.86%,R
Missouri,10,Trump +4.18%,R
Montana,3,Trump +8.95%,R
Nebraska,2,Trump +29.34%,R
Nebraska 1st District,1,Trump +40.5%,R
Nebraska 2nd District,1,Biden +8.16%,D
Nebraska 3rd District,1,Trump +57.44%,R
Nevada,6,Biden +7.57%,D
New Hampshire,4,Biden +9.56%,D
New Jersey,14,Biden +24.42%,D
New Mexico,5,Biden +16.65%,D
New York,29,Biden +30.64%,D
North Carolina,15,Trump +0.68%,R
North Dakota,3,Trump +19.13%,R
Ohio,18,Trump +5.94%,R
Oklahoma,7,Trump +27.81%,R
Oregon,7,Biden +30.43%,D
Pennsylvania,20,Biden +0.2%,D
Rhode Island,4,Biden +27.87%,D
South Carolina,9,Trump +9.4%,R
South Dakota,3,Trump +23.25%,R
Tennessee,11,Trump +12.06%,R
Texas,38,Trump +6.94%,R
Utah,6,Trump +11.83%,R
Vermont,3,Biden +27.85%,D
Virginia,13,Biden +13.82%,D
Washington,12,Biden +30.81%,D
West Virginia,5,Trump +55.3%,R
Wisconsin,10,Biden +2.13%,D
Wyoming,3,Trump +54.56%,R
279,259
