name,ec,margin,winner
Alabama,9,Trump +17.28%,R
Alaska,3,Trump +7.07%,R
Arizona,11,Trump +4.62%,R
Arkansas,6,Trump +2.66%,R
California,55,Biden +33.39%,D
Colorado,9,Biden +16.04%,D
Connecticut,7,Biden +28.3%,D
District of Columbia,3,Biden +89.72%,D
Delaware,3,Biden +22.28%,D
Florida,29,Trump +5.03%,R
Georgia,16,Trump +4.75%,R
Hawaii,4,Biden +41.64%,D
Idaho,4,Trump +38.38%,R
Illinois,20,Biden +22.4%,D
Indiana,11,Trump +12.35%,R
Iowa,6,Biden +0.4%,D
Kansas,6,Trump +13.02%,R
Kentucky,8,Trump +19.15%,R
Louisiana,8,Trump +22.06%,R
Maine,2,Biden +17.0%,D
Maine 1st District,1,Biden +22.07%,D
Maine 2nd District,1,Trump +3.12%,R
Maryland,10,Biden +25.68%,D
Massachusetts,11,Biden +38.05%,D
Michigan,16,Biden +1.87%,D
Minnesota,10,Biden +7.58%,D
Mississippi,6,Trump +10.55%,R
Missouri,10,Trump +7.92%,R
Montana,3,Trump +9.94%,R
Nebraska,2,Trump +29.97%,R
Nebraska 1st District,1,Trump +40.09%,R
Nebraska 2nd District,1,Biden +5.7%,D
Nebraska 3rd District,1,Trump +55.5%,R
Nevada,6,Biden +7.79%,D
New Hampshire,4,Biden +10.36%,D
New Jersey,14,Biden +24.38%,D
New Mexico,5,Biden +15.87%,D
New York,29,Biden +30.31%,D
North Carolina,15,Trump +1.11%,R
North Dakota,3,Trump +20.53%,R
Ohio,18,Trump +3.54%,R
Oklahoma,7,Trump +25.79%,R
Oregon,7,Biden +30.45%,D
Pennsylvania,20,Biden +2.44%,D
Rhode Island,4,Biden +26.64%,D
South Carolina,9,Trump +9.62%,R
South Dakota,3,Trump +23.15%,R
Tennessee,11,Trump +15.41%,R
Texas,38,Trump +6.13%,R
Utah,6,Trump +11.41%,R
Vermont,3,Biden +27.87%,D
Virginia,13,Biden +12.64%,D
Washington,12,Biden +30.9%,D
West Virginia,5,Trump +54.25%,R
Wisconsin,10,Biden +1.37%,D
Wyoming,3,Trump +54.07%,R
285,253
