name,ec,margin,winner
Alabama,9,Trump +19.88%,R
Alaska,3,Trump +7.18%,R
Arizona,11,Trump +6.27%,R
Arkansas,6,Trump +5.55%,R
California,55,Biden +32.52%,D
Colorado,9,Biden +14.06%,D
Connecticut,7,Biden +27.82%,D
District of Columbia,3,Biden +88.61%,D
Delaware,3,Biden +21.37%,D
Florida,29,Trump +4.75%,R
Georgia,16,Trump +4.55%,R
Hawaii,4,Biden +41.06%,D
Idaho,4,Trump +39.3%,R
Illinois,20,Biden +23.5%,D
Indiana,11,Trump +11.44%,R
Iowa,6,Trump +0.82%,R
Kansas,6,Trump +14.41%,R
Kentucky,8,Trump +21.4%,R
Louisiana,8,Trump +20.09%,R
Maine,2,Biden +13.69%,D
Maine 1st District,1,Biden +23.26%,D
Maine 2nd District,1,Trump +3.89%,R
Maryland,10,Biden +26.99%,D
Massachusetts,11,Biden +37.44%,D
Michigan,16,Biden +1.6%,D
Minnesota,10,Biden +5.73%,D
Mississippi,6,Trump +11.06%,R
Missouri,10,Trump +7.01%,R
Montana,3,Trump +8.77%,R
Nebraska,2,Trump +28.9%,R
Nebraska 1st District,1,Trump +40.84%,R
Nebraska 2nd District,1,Biden +7.61%,D
Nebraska 3rd District,1,Trump +55.9%,R
Nevada,6,Biden +8.27%,D
New Hampshire,4,Biden +9.17%,D
New Jersey,14,Biden +24.05%,D
New Mexico,5,Biden +17.51%,D
New York,29,Biden +30.2%,D
North Carolina,15,Biden +1.47%,D
North Dakota,3,Trump +19.62%,R
Ohio,18,Trump +5.2%,R
Oklahoma,7,Trump +26.98%,R
Oregon,7,Biden +30.12%,D
Pennsylvania,20,Biden +1.8%,D
Rhode Island,4,Biden +25.96%,D
South Carolina,9,Trump +10.7%,R
South Dakota,3,Trump +23.52%,R
Tennessee,11,Trump +14.05%,R
Texas,38,Trump +4.28%,R
Utah,6,Trump +8.96%,R
Vermont,3,Biden +28.4%,D
Virginia,13,Biden +12.66%,D
Washington,12,Biden +30.14%,D
West Virginia,5,Trump +55.61%,R
Wisconsin,10,Biden +1.38%,D
Wyoming,3,Trump +56.51%,R
294,244
