name,ec,margin,winner
Alabama,9,Trump +17.59%,R
Alaska,3,Trump +7.86%,R
Arizona,11,Trump +5.5%,R
Arkansas,6,Trump +6.49%,R
California,55,Biden +33.65%,D
Colorado,9,Biden +15.69%,D
Connecticut,7,Biden +26.51%,D
District of Columbia,3,Biden +89.54%,D
Delaware,3,Biden +21.46%,D
Florida,29,Trump +5.4%,R
Georgia,16,Trump +3.06%,R
Hawaii,4,Biden +41.82%,D
Idaho,4,Trump +37.41%,R
Illinois,20,Biden +20.65%,D
Indiana,11,Trump +13.64%,R
Iowa,6,Trump +0.66%,R
Kansas,6,Trump +14.21%,R
Kentucky,8,Trump +21.57%,R
Louisiana,8,Trump +21.72%,R
Maine,2,Biden +15.16%,D
Maine 1st District,1,Biden +25.28%,D
Maine 2nd District,1,Trump +5.15%,R
Maryland,10,Biden +27.68%,D
Massachusetts,11,Biden +37.48%,D
Michigan,16,Biden +3.12%,D
Minnesota,10,Biden +4.34%,D
Mississippi,6,Trump +10.19%,R
Missouri,10,Trump +8.64%,R
Montana,3,Trump +8.88%,R
Nebraska,2,Trump +30.78%,R
Nebraska 1st District,1,Trump +41.0%,R
Nebraska 2nd District,1,Biden +6.53%,D
Nebraska 3rd District,1,Trump +57.51%,R
Nevada,6,Biden +7.6%,D
New Hampshire,4,Biden +8.37%,D
New Jersey,14,Biden +23.69%,D
New Mexico,5,Biden +18.44%,D
New York,29,Biden +28.49%,D
North Carolina,15,Trump +0.99%,R
North Dakota,3,Trump +20.34%,R
Ohio,18,Trump +4.44%,R
Oklahoma,7,Trump +27.82%,R
Oregon,7,Biden +29.56%,D
Pennsylvania,20,Biden +1.85%,D
Rhode Island,4,Biden +25.41%,D
South Carolina,9,Trump +9.25%,R
South Dakota,3,Trump +22.12%,R
Tennessee,11,Trump +15.42%,R
Texas,38,Trump +4.09%,R
Utah,6,Trump +12.74%,R
Vermont,3,Biden +29.18%,D
Virginia,13,Biden +14.37%,D
Washington,12,Biden +31.89%,D
West Virginia,5,Trump +55.17%,R
Wisconsin,10,Biden +1.41%,D
Wyoming,3,Trump +54.36%,R
279,259
