name,ec,margin,winner
Alabama,9,Trump +18.74%,R
Alaska,3,Trump +6.01%,R
Arizona,11,Trump +5.87%,R
Arkansas,6,Trump +5.87%,R
California,55,Biden +32.73%,D
Colorado,9,Biden +15.32%,D
Connecticut,7,Biden +29.78%,D
District of Columbia,3,Biden +89.43%,D
Delaware,3,Biden +23.06%,D
Florida,29,Trump +5.19%,R
Georgia,16,Trump +3.55%,R
Hawaii,4,Biden +40.26%,D
Idaho,4,Trump +38.19%,R
Illinois,20,Biden +21.26%,D
Indiana,11,Trump +10.19%,R
Iowa,6,Biden +2.37%,D
Kansas,6,Trump +12.64%,R
Kentucky,8,Trump +20.68%,R
Louisiana,8,Trump +21.98%,R
Maine,2,Biden +16.18%,D
Maine 1st District,1,Biden +24.62%,D
Maine 2nd District,1,Trump +5.43%,R
Maryland,10,Biden +26.02%,D
Massachusetts,11,Biden +37.02%,D
Michigan,16,Biden +2.08%,D
Minnesota,10,Biden +6.23%,D
Mississippi,6,Trump +10.85%,R
Missouri,10,Trump +8.17%,R
Montana,3,Trump +10.15%,R
Nebraska,2,Trump +29.78%,R
Nebraska 1st District,1,Trump +41.38%,R
Nebraska 2nd District,1,Biden +7.17%,D
Nebraska 3rd District,1,Trump +56.0%,R
Nevada,6,Biden +7.54%,D
New Hampshire,4,Biden +8.46%,D
New Jersey,14,Biden +25.38%,D
New Mexico,5,Biden +17.57%,D
New York,29,Biden +30.35%,D
North Carolina,15,Biden +0.43%,D
North Dakota,3,Trump +20.49%,R
Ohio,18,Trump +5.4%,R
Oklahoma,7,Trump +28.14%,R
Oregon,7,Biden +28.61%,D
Pennsylvania,20,Biden +1.02%,D
Rhode Island,4,Biden +26.62%,D
South Carolina,9,Trump +9.89%,R
South Dakota,3,Trump +22.3%,R
Tennessee,11,Trump +14.24%,R
Texas,38,Trump +4.74%,R
Utah,6,Trump +9.94%,R
Vermont,3,Biden +27.18%,D
Virginia,13,Biden +11.96%,D
Washington,12,Biden +30.9%,D
West Virginia,5,Trump +55.67%,R
Wisconsin,10,Biden +2.39%,D
Wyoming,3,Trump +55.16%,R
300,238
