name,ec,margin,winner
Alabama,9,Trump +18.35%,R
Alaska,3,Trump +8.72%,R
Arizona,11,Trump +6.12%,R
Arkansas,6,Trump +5.64%,R
California,55,Biden +32.88%,D
Colorado,9,Biden +13.92%,D
Connecticut,7,Biden +27.54%,D
District of Columbia,3,Biden +88.71%,D
Delaware,3,Biden +23.04%,D
Florida,29,Trump +5.33%,R
Georgia,16,Trump +3.59%,R
Hawaii,4,Biden +39.2%,D
Idaho,4,Trump +39.18%,R
Illinois,20,Biden +21.76%,D
Indiana,11,Trump +11.12%,R
Iowa,6,Trump +2.72%,R
Kansas,6,Trump +13.46%,R
Kentucky,8,Trump +21.38%,R
Louisiana,8,Trump +22.65%,R
Maine,2,Biden +15.52%,D
Maine 1st District,1,Biden +24.5%,D
Maine 2nd District,1,Trump +4.59%,R
Maryland,10,Biden +26.49%,D
Massachusetts,11,Biden +37.62%,D
Michigan,16,Biden +2.44%,D
Minnesota,10,Biden +5.85%,D
Mississippi,6,Trump +10.37%,R
Missouri,10,Trump +7.25%,R
Montana,3,Trump +10.5%,R
Nebraska,2,Trump +30.14%,R
Nebraska 1st District,1,Trump +41.49%,R
Nebraska 2nd District,1,Biden +7.0%,D
Nebraska 3rd District,1,Trump +57.98%,R
Nevada,6,Biden +8.85%,D
New Hampshire,4,Biden +8.18%,D
New Jersey,14,Biden +24.47%,D
New Mexico,5,Biden +18.49%,D
New York,29,Biden +29.54%,D
North Carolina,15,Biden +1.06%,D
North Dakota,3,Trump +18.98%,R
Ohio,18,Trump +3.29%,R
Oklahoma,7,Trump +28.46%,R
Oregon,7,Biden +30.62%,D
Pennsylvania,20,Biden +3.44%,D
Rhode Island,4,Biden +25.32%,D
South Carolina,9,Trump +10.45%,R
South Dakota,3,Trump +22.75%,R
Tennessee,11,Trump +13.32%,R
Texas,38,Trump +6.19%,R
Utah,6,Trump +12.32%,R
Vermont,3,Biden +28.77%,D
Virginia,13,Biden +13.23%,D
Washington,12,Biden +29.21%,D
West Virginia,5,Trump +55.63%,R
Wisconsin,10,Biden +2.04%,D
Wyoming,3,Trump +55.7%,R
294,244
