name,ec,margin,winner
Alabama,9,Trump +17.28%,R
Alaska,3,Trump +7.18%,R
Arizona,11,Trump +4.45%,R
Arkansas,6,Trump +5.16%,R
California,55,Biden +31.38%,D
Colorado,9,Biden +15.02%,D
Connecticut,7,Biden +29.11%,D
District of Columbia,3,Biden +89.12%,D
Delaware,3,Biden +22.71%,D
Florida,29,Trump +4.14%,R
Georgia,16,Trump +3.99%,R
Hawaii,4,Biden +39.75%,D
Idaho,4,Trump +37.49%,R
Illinois,20,Biden +21.69%,D
Indiana,11,Trump +12.31%,R
Iowa,6,Trump +0.61%,R
Kansas,6,Trump +13.41%,R
Kentucky,8,Trump +20.83%,R
Louisiana,8,Trump +22.7%,R
Maine,2,Biden +14.11%,D
Maine 1st District,1,Biden +24.47%,D
Maine 2nd District,1,Trump +3.61%,R
Maryland,10,Biden +27.37%,D
Massachusetts,11,Biden +39.19%,D
Michigan,16,Biden +1.02%,D
Minnesota,10,Biden +4.99%,D
Mississippi,6,Trump +12.55%,R
Missouri,10,Trump +7.73%,R
Montana,3,Trump +10.82%,R
Nebraska,2,Trump +29.03%,R
Nebraska 1st District,1,Trump +40.0%,R
Nebraska 2nd District,1,Biden +5.5%,D
Nebraska 3rd District,1,Trump +57.54%,R
Nevada,6,Biden +8.09%,D
New Hampshire,4,Biden +6.92%,D
New Jersey,14,Biden +25.62%,D
New Mexico,5,Biden +15.49%,D
New York,29,Biden +29.09%,D
North Carolina,15,Trump +0.02%,R
North Dakota,3,Trump +19.58%,R
Ohio,18,Trump +4.49%,R
Oklahoma,7,Trump +29.26%,R
Oregon,7,Biden +28.95%,D
Pennsylvania,20,Biden +1.66%,D
Rhode Island,4,Biden +25.53%,D
South Carolina,9,Trump +9.46%,R
South Dakota,3,Trump +22.97%,R
Tennessee,11,Trump +13.86%,R
Texas,38,Trump +5.52%,R
Utah,6,Trump +11.18%,R
Vermont,3,Biden +27.12%,D
Virginia,13,Biden +13.16%,D
Washington,12,Biden +31.32%,D
West Virginia,5,Trump +54.73%,R
Wisconsin,10,Trump +0.66%,R
Wyoming,3,Trump +54.74%,R
269,269
