name,ec,margin,winner
Alabama,9,Trump +19.42%,R
Alaska,3,Trump +7.43%,R
Arizona,11,Trump +4.33%,R
Arkansas,6,Trump +5.34%,R
California,55,Biden +33.46%,D
Colorado,9,Biden +15.19%,D
Connecticut,7,Biden +27.23%,D
District of Columbia,3,Biden +89.69%,D
Delaware,3,Biden +21.9%,D
Florida,29,Trump +3.86%,R
Georgia,16,Trump +2.59%,R
Hawaii,4,Biden +41.2%,D
Idaho,4,Trump +38.89%,R
Illinois,20,Biden +21.75%,D
Indiana,11,Trump +11.4%,R
Iowa,6,Biden +0.46%,D
Kansas,6,Trump +13.33%,R
Kentucky,8,Trump +20.98%,R
Louisiana,8,Trump +21.84%,R
Maine,2,Biden +16.85%,D
Maine 1st District,1,Biden +23.47%,D
Maine 2nd District,1,Trump +4.74%,R
Maryland,10,Biden +28.87%,D
Massachusetts,11,Biden +39.24%,D
Michigan,16,Biden +1.9%,D
Minnesota,10,Biden +6.13%,D
Mississippi,6,Trump +10.74%,R
Missouri,10,Trump +6.93%,R
Montana,3,Trump +8.01%,R
Nebraska,2,Trump +29.74%,R
Nebraska 1st District,1,Trump +38.67%,R
Nebraska 2nd District,1,Biden +5.16%,D
Nebraska 3rd District,1,Trump +57.29%,R
Nevada,6,Biden +8.62%,D
New Hampshire,4,Biden +8.85%,D
New Jersey,14,Biden +24.26%,D
New Mexico,5,Biden +16.0%,D
New York,29,Biden +30.16%,D
North Carolina,15,Biden +0.88%,D
North Dakota,3,Trump +19.73%,R
Ohio,18,Trump +4.12%,R
Oklahoma,7,Trump +28.21%,R
Oregon,7,Biden +28.94%,D
Pennsylvania,20,Biden +1.22%,D
Rhode Island,4,Biden +27.16%,D
South Carolina,9,Trump +9.51%,R
South Dakota,3,Trump +23.78%,R
Tennessee,11,Trump +13.73%,R
Texas,38,Trump +4.14%,R
Utah,6,Trump +13.05%,R
Vermont,3,Biden +28.73%,D
Virginia,13,Biden +11.86%,D
Washington,12,Biden +31.92%,D
West Virginia,5,Trump +55.24%,R
Wisconsin,10,Biden +2.1%,D
Wyoming,3,Trump +55.4%,R
300,238
