name,ec,margin,winner
Alabama,9,Trump +17.41%,R
Alaska,3,Trump +8.35%,R
Arizona,11,Trump +6.51%,R
Arkansas,6,Trump +5.58%,R
California,55,Biden +32.67%,D
Colorado,9,Biden +15.08%,D
Connecticut,7,Biden +28.28%,D
District of Columbia,3,Biden +88.93%,D
Delaware,3,Biden +21.97%,D
Florida,29,Trump +4.95%,R
Georgia,16,Trump +3.9%,R
Hawaii,4,Biden +40.52%,D
Idaho,4,Trump +37.77%,R
Illinois,20,Biden +23.72%,D
Indiana,11,Trump +12.06%,R
Iowa,6,Trump +2.6%,R
Kansas,6,Trump +15.19%,R
Kentucky,8,Trump +20.79%,R
Louisiana,8,Trump +20.76%,R
Maine,2,Biden +14.59%,D
Maine 1st District,1,Biden +24.94%,D
Maine 2nd District,1,Trump +4.44%,R
Maryland,10,Biden +28.67%,D
Massachusetts,11,Biden +38.34%,D
Michigan,16,Biden +1.66%,D
Minnesota,10,Biden +5.74%,D
Mississippi,6,Trump +10.38%,R
Missouri,10,Trump +6.82%,R
Montana,3,Trump +8.38%,R
Nebraska,2,Trump +30.93%,R
Nebraska 1st District,1,Trump +41.15%,R
Nebraska 2nd District,1,Biden +6.96%,D
Nebraska 3rd District,1,Trump +56.74%,R
Nevada,6,Biden +8.79%,D
New Hampshire,4,Biden +9.47%,D
New Jersey,14,Biden +24.06%,D
New Mexico,5,Biden +16.65%,D
New York,29,Biden +30.84%,D
North Carolina,15,Biden +1.6%,D
North Dakota,3,Trump +19.41%,R
Ohio,18,Trump +5.02%,R
Oklahoma,7,Trump +26.0%,R
Oregon,7,Biden +30.16%,D
Pennsylvania,20,Biden +1.49%,D
Rhode Island,4,Biden +24.45%,D
South Carolina,9,Trump +8.95%,R
South Dakota,3,Trump +22.57%,R
Tennessee,11,Trump +15.11%,R
Texas,38,Trump +5.83%,R
Utah,6,Trump +10.07%,R
Vermont,3,Biden +28.26%,D
Virginia,13,Biden +12.13%,D
Washington,12,Biden +29.88%,D
West Virginia,5,Trump +56.54%,R
Wisconsin,10,Trump +0.78%,R
Wyoming,3,Trump +56.02%,R
284,254
