name,ec,margin,winner
Alabama,9,Trump +19.46%,R
Alaska,3,Trump +6.95%,R
Arizona,11,Trump +4.71%,R
Arkansas,6,Trump +5.35%,R
California,55,Biden +33.26%,D
Colorado,9,Biden +15.06%,D
Connecticut,7,Biden +27.23%,D
District of Columbia,3,Biden +89.58%,D
Delaware,3,Biden +22.99%,D
Florida,29,Trump +4.29%,R
Georgia,16,Trump +3.88%,R
Hawaii,4,Biden +39.56%,D
Idaho,4,Trump +39.11%,R
Illinois,20,Biden +21.42%,D
Indiana,11,Trump +11.95%,R
Iowa,6,Trump +1.08%,R
Kansas,6,Trump +15.07%,R
Kentucky,8,Trump +20.56%,R
Louisiana,8,Trump +21.92%,R
Maine,2,Biden +17.0%,D
Maine 1st District,1,Biden +24.58%,D
Maine 2nd District,1,Trump +4.94%,R
Maryland,10,Biden +27.7%,D
Massachusetts,11,Biden +38.41%,D
Michigan,16,Biden +3.38%,D
Minnesota,10,Biden +5.5%,D
Mississippi,6,Trump +9.63%,R
Missouri,10,Trump +7.62%,R
Montana,3,Trump +10.89%,R
Nebraska,2,Trump +29.19%,R
Nebraska 1st District,1,Trump +41.93%,R
Nebraska 2nd District,1,Biden +6.86%,D
Nebraska 3rd District,1,Trump +55.98%,R
Nevada,6,Biden +7.88%,D
New Hampshire,4,Biden +7.34%,D
New Jersey,14,Biden +25.27%,D
New Mexico,5,Biden +16.42%,D
New York,29,Biden +31.7%,D
North Carolina,15,Biden +0.71%,D
North Dakota,3,Trump +20.28%,R
Ohio,18,Trump +3.79%,R
Oklahoma,7,Trump +26.43%,R
Oregon,7,Biden +30.63%,D
Pennsylvania,20,Biden +1.88%,D
Rhode Island,4,Biden +23.68%,D
South Carolina,9,Trump +11.33%,R
South Dakota,3,Trump +23.74%,R
Tennessee,11,Trump +13.9%,R
Texas,38,Trump +5.7%,R
Utah,6,Trump +11.59%,R
Vermont,3,Biden +28.35%,D
Virginia,13,Biden +15.23%,D
Washington,12,Biden +30.9%,D
West Virginia,5,Trump +56.18%,R
Wisconsin,10,Biden +0.89%,D
Wyoming,3,Trump +55.78%,R
294,244
