name,ec,margin,winner
Alabama,9,Trump +18.53%,R
Alaska,3,Trump +7.08%,R
Arizona,11,Trump +6.07%,R
Arkansas,6,Trump +6.82%,R
California,55,Biden +34.65%,D
Colorado,9,Biden +16.25%,D
Connecticut,7,Biden +29.02%,D
District of Columbia,3,Biden +89.17%,D
Delaware,3,Biden +21.17%,D
Florida,29,Trump +4.66%,R
Georgia,16,Trump +4.66%,R
Hawaii,4,Biden +40.01%,D
Idaho,4,Trump +37.17%,R
Illinois,20,Biden +21.97%,D
Indiana,11,Trump +11.54%,R
Iowa,6,Trump +0.53%,R
Kansas,6,Trump +15.78%,R
Kentucky,8,Trump +20.68%,R
Louisiana,8,Trump +20.93%,R
Maine,2,Biden +14.42%,D
Maine 1st District,1,Biden +24.27%,D
Maine 2nd District,1,Trump +4.0%,R
Maryland,10,Biden +25.96%,D
Massachusetts,11,Biden +35.85%,D
Michigan,16,Biden +2.39%,D
Minnesota,10,Biden +5.79%,D
Mississippi,6,Trump +10.03%,R
Missouri,10,Trump +8.56%,R
Montana,3,Trump +9.68%,R
Nebraska,2,Trump +28.94%,R
Nebraska 1st District,1,Trump +38.85%,R
Nebraska 2nd District,1,Biden +4.79%,D
Nebraska 3rd District,1,Trump +56.04%,R
Nevada,6,Biden +7.78%,D
New Hampshire,4,Biden +10.24%,D
New Jersey,14,Biden +24.85%,D
New Mexico,5,Biden +16.95%,D
New York,29,Biden +31.05%,D
North Carolina,15,Trump +0.71%,R
North Dakota,3,Trump +21.92%,R
Ohio,18,Trump +3.98%,R
Oklahoma,7,Trump +28.1%,R
Oregon,7,Biden +29.14%,D
Pennsylvania,20,Biden +2.55%,D
Rhode Island,4,Biden +26.08%,D
South Carolina,9,Trump +7.83%,R
South Dakota,3,Trump +25.06%,R
Tennessee,11,Trump +13.71%,R
Texas,38,Trump +4.93%,R
Utah,6,Trump +10.99%,R
Vermont,3,Biden +28.37%,D
Virginia,13,Biden +14.02%,D
Washington,12,Biden +29.81%,D
West Virginia,5,Trump +55.0%,R
Wisconsin,10,Biden +1.1%,D
Wyoming,3,Trump +55.4%,R
279,259
