name,ec,margin,winner
Alabama,9,Trump +18.51%,R
Alaska,3,Trump +8.18%,R
Arizona,11,Trump +5.19%,R
Arkansas,6,Trump +4.27%,R
California,55,Biden +33.29%,D
Colorado,9,Biden +15.31%,D
Connecticut,7,Biden +27.94%,D
District of Columbia,3,Biden +89.41%,D
Delaware,3,Biden +21.41%,D
Florida,29,Trump +5.01%,R
Georgia,16,Trump +3.93%,R
Hawaii,4,Biden +40.63%,D
Idaho,4,Trump +38.74%,R
Illinois,20,Biden +21.69%,D
Indiana,11,Trump +13.07%,R
Iowa,6,Trump +2.39%,R
Kansas,6,Trump +14.12%,R
Kentucky,8,Trump +21.23%,R
Louisiana,8,Trump +21.01%,R
Maine,2,Biden +16.17%,D
Maine 1st District,1,Biden +22.93%,D
Maine 2nd District,1,Trump +3.02%,R
Maryland,10,Biden +26.99%,D
Massachusetts,11,Biden +37.51%,D
Michigan,16,Biden +1.62%,D
Minnesota,10,Biden +5.79%,D
Mississippi,6,Trump +10.62%,R
Missouri,10,Trump +6.7%,R
Montana,3,Trump +9.31%,R
Nebraska,2,Trump +29.33%,R
Nebraska 1st District,1,Trump +41.39%,R
Nebraska 2nd District,1,Biden +7.46%,D
Nebraska 3rd District,1,Trump +56.69%,R
Nevada,6,Biden +9.39%,D
New Hampshire,4,Biden +8.4%,D
New Jersey,14,Biden +23.46%,D
New Mexico,5,Biden +17.56%,D
New York,29,Biden +28.82%,D
North Carolina,15,Trump +0.41%,R
North Dakota,3,Trump +20.85%,R
Ohio,18,Trump +4.26%,R
Oklahoma,7,Trump +26.74%,R
Oregon,7,Biden +29.99%,D
Pennsylvania,20,Biden +2.38%,D
Rhode Island,4,Biden +26.69%,D
South Carolina,9,Trump +9.99%,R
South Dakota,3,Trump +23.18%,R
Tennessee,11,Trump +13.84%,R
Texas,38,Trump +6.21%,R
Utah,6,Trump +9.96%,R
Vermont,3,Biden +28.01%,D
Virginia,13,Biden +11.36%,D
Washington,12,Biden +30.62%,D
West Virginia,5,Trump +55.71%,R
Wisconsin,10,Biden +2.73%,D
Wyoming,3,Trump +54.27%,R
279,259
