name,ec,margin,winner
Alabama,9,Trump +18.28%,R
Alaska,3,Trump +7.4%,R
Arizona,11,Trump +6.8%,R
Arkansas,6,Trump +6.32%,R
California,55,Biden +34.13%,D
Colorado,9,Biden +16.49%,D
Connecticut,7,Biden +27.1%,D
District of Columbia,3,Biden +89.49%,D
Delaware,3,Biden +22.81%,D
Florida,29,Trump +5.4%,R
Georgia,16,Trump +3.21%,R
Hawaii,4,Biden +38.83%,D
Idaho,4,Trump +39.66%,R
Illinois,20,Biden +22.75%,D
Indiana,11,Trump +11.44%,R
Iowa,6,Trump +1.14%,R
Kansas,6,Trump +11.99%,R
Kentucky,8,Trump +19.4%,R
Louisiana,8,Trump +22.2%,R
Maine,2,Biden +15.87%,D
Maine 1st District,1,Biden +24.18%,D
Maine 2nd District,1,Trump +1.89%,R
Maryland,10,Biden +27.75%,D
Massachusetts,11,Biden +36.28%,D
Michigan,16,Biden +3.4%,D
Minnesota,10,Biden +7.66%,D
Mississippi,6,Trump +11.94%,R
Missouri,10,Trump +8.36%,R
Montana,3,Trump +9.92%,R
Nebraska,2,Trump +29.39%,R
Nebraska 1st District,1,Trump +42.32%,R
Nebraska 2nd District,1,Biden +4.75%,D
Nebraska 3rd District,1,Trump +56.98%,R
Nevada,6,Biden +7.47%,D
New Hampshire,4,Biden +7.67%,D
New Jersey,14,Biden +24.1%,D
New Mexico,5,Biden +17.14%,D
New York,29,Biden +29.27%,D
North Carolina,15,Trump +0.24%,R
North Dakota,3,Trump +20.49%,R
Ohio,18,Trump +5.51%,R
Oklahoma,7,Trump +27.59%,R
Oregon,7,Biden +30.13%,D
Pennsylvania,20,Biden +0.99%,D
Rhode Island,4,Biden +24.83%,D
South Carolina,9,Trump +9.07%,R
South Dakota,3,Trump +23.71%,R
Tennessee,11,Trump +15.42%,R
Texas,38,Trump +5.86%,R
Utah,6,Trump +10.25%,R
Vermont,3,Biden +28.08%,D
Virginia,13,Biden +12.96%,D
Washington,12,Biden +30.89%,D
West Virginia,5,Trump +55.69%,R
Wisconsin,10,Biden +2.4%,D
Wyoming,3,Trump +54.44%,R
279,259
