name,ec,margin,winner
Alabama,9,Trump +19.4%,R
Alaska,3,Trump +7.17%,R
Arizona,11,Trump +4.17%,R
Arkansas,6,Trump +5.99%,R
California,55,Biden +34.43%,D
Colorado,9,Biden +16.03%,D
Connecticut,7,Biden +28.41%,D
District of Columbia,3,Biden +89.18%,D
Delaware,3,Biden +23.39%,D
Florida,29,Trump +2.51%,R
Georgia,16,Trump +5.66%,R
Hawaii,4,Biden +41.82%,D
Idaho,4,Trump +39.14%,R
Illinois,20,Biden +21.58%,D
Indiana,11,Trump +11.44%,R
Iowa,6,Trump +1.75%,R
Kansas,6,Trump +12.18%,R
Kentucky,8,Trump +19.87%,R
Louisiana,8,Trump +21.72%,R
Maine,2,Biden +14.67%,D
Maine 1st District,1,Biden +23.99%,D
Maine 2nd District,1,Trump +4.7%,R
Maryland,10,Biden +27.72%,D
Massachusetts,11,Biden +36.53%,D
Michigan,16,Biden +2.26%,D
Minnesota,10,Biden +5.25%,D
Mississippi,6,Trump +10.77%,R
Missouri,10,Trump +8.28%,R
Montana,3,Trump +8.24%,R
Nebraska,2,Trump +29.57%,R
Nebraska 1st District,1,Trump +41.12%,R
Nebraska 2nd District,1,Biden +6.51%,D
Nebraska 3rd District,1,Trump +56.43%,R
Nevada,6,Biden +6.31%,D
New Hampshire,4,Biden +7.74%,D
New Jersey,14,Biden +25.58%,D
New Mexico,5,Biden +15.8%,D
New York,29,Biden +29.87%,D
North Carolina,15,Biden +0.32%,D
North Dakota,3,Trump +19.94%,R
Ohio,18,Trump +4.01%,R
Oklahoma,7,Trump +28.54%,R
Oregon,7,Biden +28.07%,D
Pennsylvania,20,Biden +1.5%,D
Rhode Island,4,Biden +26.53%,D
South Carolina,9,Trump +10.03%,R
South Dakota,3,Trump +22.68%,R
Tennessee,11,Trump +13.16%,R
Texas,38,Trump +4.95%,R
Utah,6,Trump +12.17%,R
Vermont,3,Biden +28.57%,D
Virginia,13,Biden +11.93%,D
Washington,12,Biden +31.29%,D
West Virginia,5,Trump +54.01%,R
Wisconsin,10,Biden +1.35%,D
Wyoming,3,Trump +54.32%,R
294,244
