id,name,ec,party,democrat,republican,third,margin,winner
AL,Alabama,9,6,37.9%,61.1%,1.01%,Trump +23.2%,R
AK,Alaska,3,6,41.25%,57.65%,1.1%,Trump +16.39%,R
AZ,Arizona,11,3,50.61%,48.39%,1.01%,Biden +2.22%,D
AR,Arkansas,6,6,34.11%,64.74%,1.15%,Trump +30.63%,R
CA,California,55,1,69.85%,29.15%,0.99%,Biden +40.7%,D
CO,Colorado,9,3,51.83%,47.12%,1.05%,Biden +4.71%,D
CT,Connecticut,7,1,57.31%,41.62%,1.08%,Biden +15.69%,D
DC,District of Columbia,3,1,94.99%,4.03%,0.98%,Biden +90.97%,D
DE,Delaware,3,1,59.0%,39.97%,1.03%,Biden +19.03%,D
FL,Florida,29,4,48.82%,50.17%,1.01%,Trump +1.35%,R
GA,Georgia,16,5,45.63%,53.36%,1.01%,Trump +7.72%,R
HI,Hawaii,4,1,69.66%,29.3%,1.03%,Biden +40.36%,D
ID,Idaho,4,6,29.76%,69.08%,1.16%,Trump +39.31%,R
IL,Illinois,20,1,60.57%,38.42%,1.01%,Biden +22.15%,D
IN,Indiana,11,6,38.65%,60.35%,1.0%,Trump +21.71%,R
IA,Iowa,6,5,43.68%,55.28%,1.04%,Trump +11.6%,R
KS,Kansas,6,6,40.37%,58.65%,0.98%,Trump +18.28%,R
KY,Kentucky,8,6,32.61%,66.38%,1.01%,Trump +33.77%,R
LA,Louisiana,8,6,37.86%,61.09%,1.05%,Trump +23.24%,R
ME,Maine,2,2,53.83%,45.22%,0.95%,Biden +8.61%,D
ME_1,Maine 1st District,1,2,55.93%,43.02%,1.05%,Biden +12.9%,D
ME_2,Maine 2nd District,1,4,47.48%,51.46%,1.06%,Trump +3.98%,R
MD,Maryland,10,1,63.69%,35.31%,0.99%,Biden +28.38%,D
MA,Massachusetts,11,1,67.91%,31.07%,1.03%,Biden +36.84%,D
MI,Michigan,16,4,49.47%,49.59%,0.93%,Trump +0.12%,R
MN,Minnesota,10,2,53.73%,45.26%,1.01%,Biden +8.47%,D
MS,Mississippi,6,6,40.68%,58.31%,1.01%,Trump +17.63%,R
MO,Missouri,10,6,40.92%,58.15%,0.93%,Trump +17.23%,R
MT,Montana,3,6,36.17%,62.79%,1.04%,Trump +26.62%,R
NE,Nebraska,2,6,34.03%,64.95%,1.02%,Trump +30.91%,R
NE_1,Nebraska 1st District,1,6,29.01%,70.04%,0.95%,Trump +41.02%,R
NE_2,Nebraska 2nd District,1,4,46.57%,52.45%,0.97%,Trump +5.88%,R
NE_3,Nebraska 3rd District,1,6,20.63%,78.34%,1.03%,Trump +57.71%,R
NV,Nevada,6,3,51.32%,47.62%,1.06%,Biden +3.7%,D
NH,New Hampshire,4,3,51.45%,47.41%,1.13%,Biden +4.04%,D
NJ,New Jersey,14,1,57.36%,41.61%,1.03%,Biden +15.75%,D
NM,New Mexico,5,2,54.07%,44.92%,1.01%,Biden +9.15%,D
NY,New York,29,1,62.86%,36.09%,1.05%,Biden +26.78%,D
NC,North Carolina,15,4,47.09%,51.92%,0.99%,Trump +4.84%,R
ND,North Dakota,3,6,33.64%,65.43%,0.94%,Trump +31.79%,R
OH,Ohio,18,4,47.17%,51.8%,1.02%,Trump +4.63%,R
OK,Oklahoma,7,6,33.86%,65.18%,0.96%,Trump +31.31%,R
OR,Oregon,7,1,65.1%,34.01%,0.89%,Biden +31.09%,D
PA,Pennsylvania,20,4,48.24%,50.79%,0.97%,Trump +2.54%,R
RI,Rhode Island,4,1,62.62%,36.28%,1.1%,Biden +26.34%,D
SC,South Carolina,9,5,42.6%,56.39%,1.01%,Trump +13.8%,R
SD,South Dakota,3,6,37.3%,61.8%,0.9%,Trump +24.5%,R
TN,Tennessee,11,6,39.59%,59.34%,1.07%,Trump +19.75%,R
TX,Texas,38,4,46.14%,52.84%,1.03%,Trump +6.7%,R
UT,Utah,6,6,37.94%,60.9%,1.16%,Trump +22.95%,R
VT,Vermont,3,1,63.57%,35.44%,0.99%,Biden +28.13%,D
VA,Virginia,13,2,54.12%,44.74%,1.14%,Biden +9.37%,D
WA,Washington,12,1,62.94%,36.02%,1.04%,Biden +26.92%,D
WV,West Virginia,5,6,21.31%,77.63%,1.06%,Trump +56.32%,R
WI,Wisconsin,10,3,50.52%,48.4%,1.07%,Biden +2.12%,D
WY,Wyoming,3,6,21.25%,77.64%,1.1%,Trump +56.39%,R
