name,ec,margin,winner
Alabama,9,Trump +19.72%,R
Alaska,3,Trump +9.14%,R
Arizona,11,Biden +2.05%,D
Arkansas,6,Trump +4.21%,R
California,55,Biden +33.18%,D
Colorado,9,Biden +14.2%,D
Connecticut,7,Biden +27.89%,D
District of Columbia,3,Biden +89.15%,D
Delaware,3,Biden +21.24%,D
Florida,29,Biden +8.61%,D
Georgia,16,Trump +2.08%,R
Hawaii,4,Biden +40.19%,D
Idaho,4,Trump +37.58%,R
Illinois,20,Biden +20.7%,D
Indiana,11,Trump +11.94%,R
Iowa,6,Biden +2.57%,D
Kansas,6,Trump +13.98%,R
Kentucky,8,Trump +19.26%,R
Louisiana,8,Trump +21.63%,R
Maine,2,Biden +16.13%,D
Maine 1st District,1,Biden +24.46%,D
Maine 2nd District,1,Biden +5.31%,D
Maryland,10,Biden +27.94%,D
Massachusetts,11,Biden +36.71%,D
Michigan,16,Biden +10.24%,D
Minnesota,10,Biden +9.65%,D
Mississippi,6,Trump +11.61%,R
Missouri,10,Trump +5.65%,R
Montana,3,Trump +12.76%,R
Nebraska,2,Trump +30.16%,R
Nebraska 1st District,1,Trump +40.52%,R
Nebraska 2nd District,1,Biden +4.36%,D
Nebraska 3rd District,1,Trump +57.79%,R
Nevada,6,Biden +6.87%,D
New Hampshire,4,Biden +8.83%,D
New Jersey,14,Biden +24.92%,D
New Mexico,5,Biden +16.11%,D
New York,29,Biden +29.24%,D
North Carolina,15,Biden +4.62%,D
North Dakota,3,Trump +19.4%,R
Ohio,18,Biden +0.34%,D
Oklahoma,7,Trump +26.61%,R
Oregon,7,Biden +28.91%,D
Pennsylvania,20,Biden +7.5%,D
Rhode Island,4,Biden +23.0%,D
South Carolina,9,Trump +9.92%,R
South Dakota,3,Trump +21.64%,R
Tennessee,11,Trump +13.83%,R
Texas,38,Biden +2.27%,D
Utah,6,Trump +10.76%,R
Vermont,3,Biden +27.66%,D
Virginia,13,Trump +10.91%,R
Washington,12,Biden +32.08%,D
West Virginia,5,Trump +55.93%,R
Wisconsin,10,Biden +9.38%,D
Wyoming,3,Trump +55.64%,R
384,154
