name,ec,margin,winner
Alabama,9,Trump +17.7%,R
Alaska,3,Trump +8.1%,R
Arizona,11,Biden +3.41%,D
Arkansas,6,Trump +3.53%,R
California,55,Biden +33.54%,D
Colorado,9,Biden +14.0%,D
Connecticut,7,Biden +29.57%,D
District of Columbia,3,Biden +89.02%,D
Delaware,3,Biden +22.24%,D
Florida,29,Biden +5.47%,D
Georgia,16,Trump +1.14%,R
Hawaii,4,Biden +39.2%,D
Idaho,4,Trump +37.91%,R
Illinois,20,Biden +21.16%,D
Indiana,11,Trump +12.64%,R
Iowa,6,Biden +2.17%,D
Kansas,6,Trump +12.86%,R
Kentucky,8,Trump +20.16%,R
Louisiana,8,Trump +23.14%,R
Maine,2,Biden +14.14%,D
Maine 1st District,1,Biden +25.13%,D
Maine 2nd District,1,Biden +3.48%,D
Maryland,10,Biden +27.82%,D
Massachusetts,11,Biden +39.11%,D
Michigan,16,Biden +10.74%,D
Minnesota,10,Biden +10.44%,D
Mississippi,6,Trump +11.33%,R
Missouri,10,Trump +8.09%,R
Montana,3,Trump +11.71%,R
Nebraska,2,Trump +29.47%,R
Nebraska 1st District,1,Trump +39.86%,R
Nebraska 2nd District,1,Biden +5.76%,D
Nebraska 3rd District,1,Trump +56.7%,R
Nevada,6,Biden +8.86%,D
New Hampshire,4,Biden +6.73%,D
New Jersey,14,Biden +23.38%,D
New Mexico,5,Biden +15.84%,D
New York,29,Biden +28.51%,D
North Carolina,15,Biden +4.15%,D
North Dakota,3,Trump +19.58%,R
Ohio,18,Trump +0.99%,R
Oklahoma,7,Trump +28.11%,R
Oregon,7,Biden +30.87%,D
Pennsylvania,20,Biden +8.72%,D
Rhode Island,4,Biden +24.56%,D
South Carolina,9,Trump +10.2%,R
South Dakota,3,Trump +23.92%,R
Tennessee,11,Trump +14.74%,R
Texas,38,Trump +2.17%,R
Utah,6,Trump +11.58%,R
Vermont,3,Biden +27.82%,D
Virginia,13,Trump +10.08%,R
Washington,12,Biden +29.84%,D
West Virginia,5,Trump +56.54%,R
Wisconsin,10,Biden +7.29%,D
Wyoming,3,Trump +55.27%,R
328,210
