name,ec,margin,winner
Alabama,9,Trump +18.1%,R
Alaska,3,Trump +7.87%,R
Arizona,11,Biden +4.67%,D
Arkansas,6,Trump +3.17%,R
California,55,Biden +33.02%,D
Colorado,9,Biden +15.58%,D
Connecticut,7,Biden +27.57%,D
District of Columbia,3,Biden +88.74%,D
Delaware,3,Biden +22.5%,D
Florida,29,Biden +5.92%,D
Georgia,16,Trump +2.41%,R
Hawaii,4,Biden +40.79%,D
Idaho,4,Trump +38.22%,R
Illinois,20,Biden +20.82%,D
Indiana,11,Trump +11.14%,R
Iowa,6,Biden +1.95%,D
Kansas,6,Trump +13.23%,R
Kentucky,8,Trump +20.79%,R
Louisiana,8,Trump +23.21%,R
Maine,2,Biden +15.15%,D
Maine 1st District,1,Biden +26.0%,D
Maine 2nd District,1,Biden +5.46%,D
Maryland,10,Biden +27.52%,D
Massachusetts,11,Biden +37.6%,D
Michigan,16,Biden +9.91%,D
Minnesota,10,Biden +9.83%,D
Mississippi,6,Trump +12.85%,R
Missouri,10,Trump +6.45%,R
Montana,3,Trump +10.38%,R
Nebraska,2,Trump +29.76%,R
Nebraska 1st District,1,Trump +39.96%,R
Nebraska 2nd District,1,Biden +6.0%,D
Nebraska 3rd District,1,Trump +57.61%,R
Nevada,6,Biden +8.54%,D
New Hampshire,4,Biden +9.41%,D
New Jersey,14,Biden +26.43%,D
New Mexico,5,Biden +17.02%,D
New York,29,Biden +29.17%,D
North Carolina,15,Biden +3.23%,D
North Dakota,3,Trump +19.95%,R
Ohio,18,Trump +0.21%,R
Oklahoma,7,Trump +27.72%,R
Oregon,7,Biden +29.21%,D
Pennsylvania,20,Biden +7.2%,D
Rhode Island,4,Biden +25.42%,D
South Carolina,9,Trump +8.56%,R
South Dakota,3,Trump +22.34%,R
Tennessee,11,Trump +13.11%,R
Texas,38,Trump +1.03%,R
Utah,6,Trump +10.69%,R
Vermont,3,Biden +28.94%,D
Virginia,13,Trump +12.13%,R
Washington,12,Biden +31.31%,D
West Virginia,5,Trump +54.51%,R
Wisconsin,10,Biden +9.24%,D
Wyoming,3,Trump +56.05%,R
328,210
