name,ec,margin,winner
Alabama,9,Trump +18.43%,R
Alaska,3,Trump +8.71%,R
Arizona,11,Biden +2.8%,D
Arkansas,6,Trump +2.83%,R
California,55,Biden +32.99%,D
Colorado,9,Biden +15.17%,D
Connecticut,7,Biden +26.98%,D
District of Columbia,3,Biden +89.32%,D
Delaware,3,Biden +22.99%,D
Florida,29,Biden +7.62%,D
Georgia,16,Trump +1.82%,R
Hawaii,4,Biden +39.88%,D
Idaho,4,Trump +38.18%,R
Illinois,20,Biden +22.54%,D
Indiana,11,Trump +13.8%,R
Iowa,6,Biden +1.63%,D
Kansas,6,Trump +14.15%,R
Kentucky,8,Trump +22.6%,R
Louisiana,8,Trump +22.64%,R
Maine,2,Biden +15.11%,D
Maine 1st District,1,Biden +22.97%,D
Maine 2nd District,1,Biden +4.27%,D
Maryland,10,Biden +27.21%,D
Massachusetts,11,Biden +37.2%,D
Michigan,16,Biden +9.15%,D
Minnesota,10,Biden +9.03%,D
Mississippi,6,Trump +10.31%,R
Missouri,10,Trump +8.27%,R
Montana,3,Trump +11.59%,R
Nebraska,2,Trump +30.4%,R
Nebraska 1st District,1,Trump +39.77%,R
Nebraska 2nd District,1,Biden +5.62%,D
Nebraska 3rd District,1,Trump +55.52%,R
Nevada,6,Biden +8.65%,D
New Hampshire,4,Biden +9.43%,D
New Jersey,14,Biden +25.33%,D
New Mexico,5,Biden +16.44%,D
New York,29,Biden +29.55%,D
North Carolina,15,Biden +2.32%,D
North Dakota,3,Trump +20.88%,R
Ohio,18,Trump +0.28%,R
Oklahoma,7,Trump +29.18%,R
Oregon,7,Biden +31.03%,D
Pennsylvania,20,Biden +6.67%,D
Rhode Island,4,Biden +24.66%,D
South Carolina,9,Trump +10.45%,R
South Dakota,3,Trump +22.95%,R
Tennessee,11,Trump +13.51%,R
Texas,38,Trump +0.38%,R
Utah,6,Trump +12.34%,R
Vermont,3,Biden +27.63%,D
Virginia,13,Trump +11.23%,R
Washington,12,Biden +31.96%,D
West Virginia,5,Trump +55.14%,R
Wisconsin,10,Biden +8.87%,D
Wyoming,3,Trump +54.69%,R
328,210
