name,ec,margin,winner
Alabama,9,Trump +19.45%,R
Alaska,3,Trump +7.84%,R
Arizona,11,Biden +1.79%,D
Arkansas,6,Trump +2.96%,R
California,55,Biden +33.28%,D
Colorado,9,Biden +14.0%,D
Connecticut,7,Biden +26.74%,D
District of Columbia,3,Biden +89.73%,D
Delaware,3,Biden +21.64%,D
Florida,29,Biden +7.82%,D
Georgia,16,Trump +3.0%,R
Hawaii,4,Biden +42.33%,D
Idaho,4,Trump +38.95%,R
Illinois,20,Biden +20.98%,D
Indiana,11,Trump +12.8%,R
Iowa,6,Biden +1.92%,D
Kansas,6,Trump +11.86%,R
Kentucky,8,Trump +21.85%,R
Louisiana,8,Trump +21.95%,R
Maine,2,Biden +14.64%,D
Maine 1st District,1,Biden +23.64%,D
Maine 2nd District,1,Biden +5.71%,D
Maryland,10,Biden +28.64%,D
Massachusetts,11,Biden +37.59%,D
Michigan,16,Biden +9.3%,D
Minnesota,10,Biden +12.04%,D
Mississippi,6,Trump +10.91%,R
Missouri,10,Trump +6.9%,R
Montana,3,Trump +10.0%,R
Nebraska,2,Trump +29.21%,R
Nebraska 1st District,1,Trump +39.75%,R
Nebraska 2nd District,1,Biden +5.14%,D
Nebraska 3rd District,1,Trump +56.49%,R
Nevada,6,Biden +10.05%,D
New Hampshire,4,Biden +9.13%,D
New Jersey,14,Biden +24.7%,D
New Mexico,5,Biden +16.29%,D
New York,29,Biden +31.11%,D
North Carolina,15,Biden +2.87%,D
North Dakota,3,Trump +19.34%,R
Ohio,18,Biden +1.13%,D
Oklahoma,7,Trump +26.8%,R
Oregon,7,Biden +29.72%,D
Pennsylvania,20,Biden +8.88%,D
Rhode Island,4,Biden +26.08%,D
South Carolina,9,Trump +10.9%,R
South Dakota,3,Trump +23.12%,R
Tennessee,11,Trump +12.6%,R
Texas,38,Trump +0.83%,R
Utah,6,Trump +11.08%,R
Vermont,3,Biden +27.9%,D
Virginia,13,Trump +12.74%,R
Washington,12,Biden +32.22%,D
West Virginia,5,Trump +55.03%,R
Wisconsin,10,Biden +9.36%,D
Wyoming,3,Trump +56.47%,R
346,192
