name,ec,margin,winner
Alabama,9,Trump +18.53%,R
Alaska,3,Trump +6.59%,R
Arizona,11,Biden +1.98%,D
Arkansas,6,Trump +3.83%,R
California,55,Biden +32.08%,D
Colorado,9,Biden +15.06%,D
Connecticut,7,Biden +28.12%,D
District of Columbia,3,Biden +88.75%,D
Delaware,3,Biden +21.59%,D
Florida,29,Biden +6.52%,D
Georgia,16,Trump +4.15%,R
Hawaii,4,Biden +41.52%,D
Idaho,4,Trump +38.24%,R
Illinois,20,Biden +22.42%,D
Indiana,11,Trump +11.88%,R
Iowa,6,Biden +1.99%,D
Kansas,6,Trump +14.5%,R
Kentucky,8,Trump +20.9%,R
Louisiana,8,Trump +22.32%,R
Maine,2,Biden +15.09%,D
Maine 1st District,1,Biden +24.35%,D
Maine 2nd District,1,Biden +4.89%,D
Maryland,10,Biden +26.56%,D
Massachusetts,11,Biden +36.95%,D
Michigan,16,Biden +10.28%,D
Minnesota,10,Biden +11.12%,D
Mississippi,6,Trump +11.89%,R
Missouri,10,Trump +7.12%,R
Montana,3,Trump +10.02%,R
Nebraska,2,Trump +29.9%,R
Nebraska 1st District,1,Trump +40.03%,R
Nebraska 2nd District,1,Biden +5.68%,D
Nebraska 3rd District,1,Trump +55.35%,R
Nevada,6,Biden +9.3%,D
New Hampshire,4,Biden +9.85%,D
New Jersey,14,Biden +25.3%,D
New Mexico,5,Biden +16.89%,D
New York,29,Biden +29.93%,D
North Carolina,15,Biden +3.71%,D
North Dakota,3,Trump +19.18%,R
Ohio,18,Trump +0.14%,R
Oklahoma,7,Trump +27.52%,R
Oregon,7,Biden +29.08%,D
Pennsylvania,20,Biden +7.65%,D
Rhode Island,4,Biden +26.44%,D
South Carolina,9,Trump +9.13%,R
South Dakota,3,Trump +22.67%,R
Tennessee,11,Trump +12.46%,R
Texas,38,Trump +0.64%,R
Utah,6,Trump +10.75%,R
Vermont,3,Biden +27.98%,D
Virginia,13,Trump +11.42%,R
Washington,12,Biden +32.11%,D
West Virginia,5,Trump +54.51%,R
Wisconsin,10,Biden +8.23%,D
Wyoming,3,Trump +55.03%,R
328,210
