name,ec,margin,winner
Alabama,9,Trump +18.52%,R
Alaska,3,Trump +6.34%,R
Arizona,11,Biden +3.22%,D
Arkansas,6,Trump +3.12%,R
California,55,Biden +31.72%,D
Colorado,9,Biden +15.1%,D
Connecticut,7,Biden +28.18%,D
District of Columbia,3,Biden +89.04%,D
Delaware,3,Biden +22.65%,D
Florida,29,Biden +7.49%,D
Georgia,16,Trump +2.09%,R
Hawaii,4,Biden +40.11%,D
Idaho,4,Trump +37.83%,R
Illinois,20,Biden +23.12%,D
Indiana,11,Trump +12.38%,R
Iowa,6,Trump +0.05%,R
Kansas,6,Trump +12.09%,R
Kentucky,8,Trump +19.19%,R
Louisiana,8,Trump +23.58%,R
Maine,2,Biden +17.3%,D
Maine 1st District,1,Biden +24.16%,D
Maine 2nd District,1,Biden +5.72%,D
Maryland,10,Biden +29.06%,D
Massachusetts,11,Biden +36.5%,D
Michigan,16,Biden +9.74%,D
Minnesota,10,Biden +10.0%,D
Mississippi,6,Trump +12.57%,R
Missouri,10,Trump +8.04%,R
Montana,3,Trump +9.85%,R
Nebraska,2,Trump +29.66%,R
Nebraska 1st District,1,Trump +39.84%,R
Nebraska 2nd District,1,Biden +5.53%,D
Nebraska 3rd District,1,Trump +56.37%,R
Nevada,6,Biden +8.62%,D
New Hampshire,4,Biden +10.0%,D
New Jersey,14,Biden +24.1%,D
New Mexico,5,Biden +17.93%,D
New York,29,Biden +30.22%,D
North Carolina,15,Biden +3.75%,D
North Dakota,3,Trump +20.45%,R
Ohio,18,Biden +0.68%,D
Oklahoma,7,Trump +25.58%,R
Oregon,7,Biden +29.57%,D
Pennsylvania,20,Biden +9.19%,D
Rhode Island,4,Biden +26.73%,D
South Carolina,9,Trump +9.71%,R
South Dakota,3,Trump +23.77%,R
Tennessee,11,Trump +14.32%,R
Texas,38,Trump +1.86%,R
Utah,6,Trump +12.29%,R
Vermont,3,Biden +26.44%,D
Virginia,13,Trump +10.31%,R
Washington,12,Biden +31.79%,D
West Virginia,5,Trump +54.92%,R
Wisconsin,10,Biden +9.56%,D
Wyoming,3,Trump +56.55%,R
340,198
