name,ec,margin,winner
Alabama,9,Trump +18.79%,R
Alaska,3,Trump +5.69%,R
Arizona,11,Biden +1.42%,D
Arkansas,6,Trump +4.9%,R
California,55,Biden +31.57%,D
Colorado,9,Biden +14.34%,D
Connecticut,7,Biden +27.92%,D
District of Columbia,3,Biden +88.91%,D
Delaware,3,Biden +21.92%,D
Florida,29,Biden +6.95%,D
Georgia,16,Trump +2.49%,R
Hawaii,4,Biden +41.13%,D
Idaho,4,Trump +36.87%,R
Illinois,20,Biden +22.67%,D
Indiana,11,Trump +11.71%,R
Iowa,6,Biden +0.78%,D
Kansas,6,Trump +14.07%,R
Kentucky,8,Trump +19.6%,R
Louisiana,8,Trump +22.6%,R
Maine,2,Biden +14.72%,D
Maine 1st District,1,Biden +24.09%,D
Maine 2nd District,1,Biden +3.91%,D
Maryland,10,Biden +26.99%,D
Massachusetts,11,Biden +38.14%,D
Michigan,16,Biden +10.05%,D
Minnesota,10,Biden +11.64%,D
Mississippi,6,Trump +10.24%,R
Missouri,10,Trump +6.48%,R
Montana,3,Trump +10.15%,R
Nebraska,2,Trump +30.79%,R
Nebraska 1st District,1,Trump +41.27%,R
Nebraska 2nd District,1,Biden +5.81%,D
Nebraska 3rd District,1,Trump +56.48%,R
Nevada,6,Biden +8.62%,D
New Hampshire,4,Biden +8.4%,D
New Jersey,14,Biden +25.22%,D
New Mexico,5,Biden +14.96%,D
New York,29,Biden +29.53%,D
North Carolina,15,Biden +3.42%,D
North Dakota,3,Trump +20.57%,R
Ohio,18,Trump +0.68%,R
Oklahoma,7,Trump +26.93%,R
Oregon,7,Biden +30.42%,D
Pennsylvania,20,Biden +10.08%,D
Rhode Island,4,Biden +26.67%,D
South Carolina,9,Trump +10.66%,R
South Dakota,3,Trump +23.85%,R
Tennessee,11,Trump +14.08%,R
Texas,38,Trump +1.06%,R
Utah,6,Trump +12.14%,R
Vermont,3,Biden +27.24%,D
Virginia,13,Trump +12.14%,R
Washington,12,Biden +32.32%,D
West Virginia,5,Trump +54.16%,R
Wisconsin,10,Biden +7.61%,D
Wyoming,3,Trump +54.25%,R
328,210
