name,ec,margin,winner
Alabama,9,Trump +20.31%,R
Alaska,3,Trump +7.0%,R
Arizona,11,Biden +2.45%,D
Arkansas,6,Trump +4.06%,R
California,55,Biden +31.55%,D
Colorado,9,Biden +16.76%,D
Connecticut,7,Biden +27.22%,D
District of Columbia,3,Biden +89.25%,D
Delaware,3,Biden +22.94%,D
Florida,29,Biden +7.93%,D
Georgia,16,Trump +1.23%,R
Hawaii,4,Biden +40.89%,D
Idaho,4,Trump +39.49%,R
Illinois,20,Biden +21.85%,D
Indiana,11,Trump +13.29%,R
Iowa,6,Trump +0.32%,R
Kansas,6,Trump +11.59%,R
Kentucky,8,Trump +20.3%,R
Louisiana,8,Trump +21.67%,R
Maine,2,Biden +14.79%,D
Maine 1st District,1,Biden +24.17%,D
Maine 2nd District,1,Biden +5.09%,D
Maryland,10,Biden +27.48%,D
Massachusetts,11,Biden +37.63%,D
Michigan,16,Biden +8.7%,D
Minnesota,10,Biden +10.14%,D
Mississippi,6,Trump +10.67%,R
Missouri,10,Trump +6.7%,R
Montana,3,Trump +10.08%,R
Nebraska,2,Trump +28.22%,R
Nebraska 1st District,1,Trump +40.09%,R
Nebraska 2nd District,1,Biden +6.91%,D
Nebraska 3rd District,1,Trump +55.91%,R
Nevada,6,Biden +9.19%,D
New Hampshire,4,Biden +10.17%,D
New Jersey,14,Biden +25.48%,D
New Mexico,5,Biden +16.92%,D
New York,29,Biden +30.77%,D
North Carolina,15,Biden +4.59%,D
North Dakota,3,Trump +18.97%,R
Ohio,18,Biden +1.28%,D
Oklahoma,7,Trump +27.92%,R
Oregon,7,Biden +29.96%,D
Pennsylvania,20,Biden +6.62%,D
Rhode Island,4,Biden +24.7%,D
South Carolina,9,Trump +9.76%,R
South Dakota,3,Trump +24.85%,R
Tennessee,11,Trump +13.77%,R
Texas,38,Trump +0.58%,R
Utah,6,Trump +11.8%,R
Vermont,3,Biden +29.11%,D
Virginia,13,Trump +12.45%,R
Washington,12,Biden +30.11%,D
West Virginia,5,Trump +55.09%,R
Wisconsin,10,Biden +7.64%,D
Wyoming,3,Trump +55.88%,R
340,198
