name,ec,margin,winner
Alabama,9,Trump +21.74%,R
Alaska,3,Biden +2.54%,D
Arizona,11,Trump +3.06%,R
Arkansas,6,Trump +24.8%,R
California,55,Biden +27.42%,D
Colorado,9,Biden +5.87%,D
Connecticut,7,Biden +19.7%,D
District of Columbia,3,Biden +78.51%,D
Delaware,3,Biden +27.97%,D
Florida,29,Trump +3.93%,R
Georgia,16,Trump +9.49%,R
Hawaii,4,Biden +35.89%,D
Idaho,4,Trump +25.58%,R
Illinois,20,Biden +14.44%,D
Indiana,11,Trump +14.19%,R
Iowa,6,Trump +6.72%,R
Kansas,6,Trump +25.84%,R
Kentucky,8,Trump +18.54%,R
Louisiana,8,Trump +18.7%,R
Maine,2,Biden +6.69%,D
Maine 1st District,1,Biden +16.48%,D
Maine 2nd District,1,Biden +5.96%,D
Maryland,10,Biden +42.5%,D
Massachusetts,11,Biden +38.16%,D
Michigan,16,Trump +2.24%,R
Minnesota,10,Biden +12.31%,D
Mississippi,6,Trump +47.05%,R
Missouri,10,Trump +6.97%,R
Montana,3,Trump +14.57%,R
Nebraska,2,Trump +32.32%,R
Nebraska 1st District,1,Trump +32.36%,R
Nebraska 2nd District,1,Trump +3.05%,R
Nebraska 3rd District,1,Trump +32.64%,R
Nevada,6,Biden +1.13%,D
New Hampshire,4,Biden +14.76%,D
New Jersey,14,Biden +13.98%,D
New Mexico,5,Biden +4.42%,D
New York,29,Biden +22.1%,D
North Carolina,15,Trump +1.05%,R
North Dakota,3,Trump +15.55%,R
Ohio,18,Trump +8.22%,R
Oklahoma,7,Trump +33.6%,R
Oregon,7,Biden +12.69%,D
Pennsylvania,20,Biden +8.74%,D
Rhode Island,4,Biden +25.21%,D
South Carolina,9,Trump +13.16%,R
South Dakota,3,Trump +18.69%,R
Tennessee,11,Trump +13.62%,R
Texas,38,Trump +16.53%,R
Utah,6,Trump +16.91%,R
Vermont,3,Biden +37.24%,D
Virginia,13,Biden +8.44%,D
Washington,12,Biden +18.17%,D
West Virginia,5,Trump +37.47%,R
Wisconsin,10,Biden +11.8%,D
Wyoming,3,Trump +48.62%,R
266,272
