name,ec,margin,winner
Alabama,9,Trump +21.21%,R
Alaska,3,Biden +1.55%,D
Arizona,11,Trump +4.53%,R
Arkansas,6,Trump +24.94%,R
California,55,Biden +27.5%,D
Colorado,9,Biden +4.27%,D
Connecticut,7,Biden +20.49%,D
District of Columbia,3,Biden +79.07%,D
Delaware,3,Biden +29.2%,D
Florida,29,Trump +4.05%,R
Georgia,16,Trump +10.96%,R
Hawaii,4,Biden +37.75%,D
Idaho,4,Trump +26.55%,R
Illinois,20,Biden +14.0%,D
Indiana,11,Trump +13.83%,R
Iowa,6,Trump +7.66%,R
Kansas,6,Trump +25.15%,R
Kentucky,8,Trump +20.87%,R
Louisiana,8,Trump +17.81%,R
Maine,2,Biden +5.46%,D
Maine 1st District,1,Biden +15.22%,D
Maine 2nd District,1,Biden +6.77%,D
Maryland,10,Biden +41.83%,D
Massachusetts,11,Biden +38.65%,D
Michigan,16,Biden +0.68%,D
Minnesota,10,Biden +12.69%,D
Mississippi,6,Trump +48.54%,R
Missouri,10,Trump +7.14%,R
Montana,3,Trump +12.32%,R
Nebraska,2,Trump +32.05%,R
Nebraska 1st District,1,Trump +32.61%,R
Nebraska 2nd District,1,Trump +5.62%,R
Nebraska 3rd District,1,Trump +31.85%,R
Nevada,6,Biden +0.57%,D
New Hampshire,4,Biden +13.87%,D
New Jersey,14,Biden +14.92%,D
New Mexico,5,Biden +6.29%,D
New York,29,Biden +21.22%,D
North Carolina,15,Trump +1.93%,R
North Dakota,3,Trump +15.02%,R
Ohio,18,Trump +8.6%,R
Oklahoma,7,Trump +34.75%,R
Oregon,7,Biden +10.29%,D
Pennsylvania,20,Biden +8.48%,D
Rhode Island,4,Biden +24.91%,D
South Carolina,9,Trump +15.08%,R
South Dakota,3,Trump +16.48%,R
Tennessee,11,Trump +13.42%,R
Texas,38,Trump +17.78%,R
Utah,6,Trump +15.38%,R
Vermont,3,Biden +35.82%,D
Virginia,13,Biden +7.79%,D
Washington,12,Biden +18.76%,D
West Virginia,5,Trump +37.05%,R
Wisconsin,10,Biden +12.23%,D
Wyoming,3,Trump +47.74%,R
282,256
