name,ec,margin,winner
Alabama,9,Trump +22.33%,R
Alaska,3,Biden +3.63%,D
Arizona,11,Trump +2.05%,R
Arkansas,6,Trump +26.36%,R
California,55,Biden +29.06%,D
Colorado,9,Biden +5.74%,D
Connecticut,7,Biden +19.59%,D
District of Columbia,3,Biden +78.48%,D
Delaware,3,Biden +26.75%,D
Florida,29,Trump +6.22%,R
Georgia,16,Trump +9.4%,R
Hawaii,4,Biden +35.77%,D
Idaho,4,Trump +24.37%,R
Illinois,20,Biden +14.7%,D
Indiana,11,Trump +12.98%,R
Iowa,6,Trump +7.5%,R
Kansas,6,Trump +26.6%,R
Kentucky,8,Trump +20.61%,R
Louisiana,8,Trump +18.17%,R
Maine,2,Biden +6.2%,D
Maine 1st District,1,Biden +17.08%,D
Maine 2nd District,1,Biden +6.52%,D
Maryland,10,Biden +42.42%,D
Massachusetts,11,Biden +37.69%,D
Michigan,16,Trump +0.61%,R
Minnesota,10,Biden +14.48%,D
Mississippi,6,Trump +48.06%,R
Missouri,10,Trump +7.54%,R
Montana,3,Trump +12.31%,R
Nebraska,2,Trump +33.05%,R
Nebraska 1st District,1,Trump +32.74%,R
Nebraska 2nd District,1,Trump +4.1%,R
Nebraska 3rd District,1,Trump +33.12%,R
Nevada,6,Trump +0.65%,R
New Hampshire,4,Biden +13.54%,D
New Jersey,14,Biden +14.46%,D
New Mexico,5,Biden +3.42%,D
New York,29,Biden +20.62%,D
North Carolina,15,Trump +2.11%,R
North Dakota,3,Trump +16.85%,R
Ohio,18,Trump +7.88%,R
Oklahoma,7,Trump +34.0%,R
Oregon,7,Biden +10.46%,D
Pennsylvania,20,Biden +7.54%,D
Rhode Island,4,Biden +25.39%,D
South Carolina,9,Trump +14.83%,R
South Dakota,3,Trump +17.63%,R
Tennessee,11,Trump +14.06%,R
Texas,38,Trump +18.28%,R
Utah,6,Trump +13.9%,R
Vermont,3,Biden +34.45%,D
Virginia,13,Biden +6.75%,D
Washington,12,Biden +19.79%,D
West Virginia,5,Trump +37.19%,R
Wisconsin,10,Biden +10.76%,D
Wyoming,3,Trump +49.92%,R
260,278
