name,ec,margin,winner
Alabama,9,Trump +21.17%,R
Alaska,3,Biden +4.28%,D
Arizona,11,Trump +3.61%,R
Arkansas,6,Trump +23.19%,R
California,55,Biden +25.66%,D
Colorado,9,Biden +3.26%,D
Connecticut,7,Biden +20.98%,D
District of Columbia,3,Biden +78.54%,D
Delaware,3,Biden +28.44%,D
Florida,29,Trump +3.57%,R
Georgia,16,Trump +8.85%,R
Hawaii,4,Biden +34.9%,D
Idaho,4,Trump +24.25%,R
Illinois,20,Biden +14.96%,D
Indiana,11,Trump +15.42%,R
Iowa,6,Trump +8.36%,R
Kansas,6,Trump +25.92%,R
Kentucky,8,Trump +20.08%,R
Louisiana,8,Trump +20.33%,R
Maine,2,Biden +6.82%,D
Maine 1st District,1,Biden +15.89%,D
Maine 2nd District,1,Biden +6.19%,D
Maryland,10,Biden +41.02%,D
Massachusetts,11,Biden +35.9%,D
Michigan,16,Trump +0.9%,R
Minnesota,10,Biden +11.66%,D
Mississippi,6,Trump +47.4%,R
Missouri,10,Trump +9.64%,R
Montana,3,Trump +13.97%,R
Nebraska,2,Trump +32.85%,R
Nebraska 1st District,1,Trump +31.92%,R
Nebraska 2nd District,1,Trump +4.32%,R
Nebraska 3rd District,1,Trump +32.28%,R
Nevada,6,Trump +1.28%,R
New Hampshire,4,Biden +14.37%,D
New Jersey,14,Biden +15.09%,D
New Mexico,5,Biden +3.42%,D
New York,29,Biden +21.67%,D
North Carolina,15,Trump +1.49%,R
North Dakota,3,Trump +14.91%,R
Ohio,18,Trump +8.23%,R
Oklahoma,7,Trump +36.38%,R
Oregon,7,Biden +11.07%,D
Pennsylvania,20,Biden +8.43%,D
Rhode Island,4,Biden +24.94%,D
South Carolina,9,Trump +15.54%,R
South Dakota,3,Trump +18.2%,R
Tennessee,11,Trump +14.43%,R
Texas,38,Trump +18.31%,R
Utah,6,Trump +13.55%,R
Vermont,3,Biden +34.49%,D
Virginia,13,Biden +6.58%,D
Washington,12,Biden +18.5%,D
West Virginia,5,Trump +36.18%,R
Wisconsin,10,Biden +9.61%,D
Wyoming,3,Trump +50.16%,R
260,278
