name,ec,margin,winner
Alabama,9,Trump +21.51%,R
Alaska,3,Biden +2.28%,D
Arizona,11,Trump +3.02%,R
Arkansas,6,Trump +27.19%,R
California,55,Biden +26.9%,D
Colorado,9,Biden +4.85%,D
Connecticut,7,Biden +20.85%,D
District of Columbia,3,Biden +78.62%,D
Delaware,3,Biden +27.21%,D
Florida,29,Trump +3.89%,R
Georgia,16,Trump +7.96%,R
Hawaii,4,Biden +37.67%,D
Idaho,4,Trump +25.18%,R
Illinois,20,Biden +15.67%,D
Indiana,11,Trump +14.59%,R
Iowa,6,Trump +7.39%,R
Kansas,6,Trump +28.47%,R
Kentucky,8,Trump +20.79%,R
Louisiana,8,Trump +18.6%,R
Maine,2,Biden +6.62%,D
Maine 1st District,1,Biden +17.41%,D
Maine 2nd District,1,Biden +6.4%,D
Maryland,10,Biden +41.34%,D
Massachusetts,11,Biden +38.36%,D
Michigan,16,Biden +0.56%,D
Minnesota,10,Biden +13.01%,D
Mississippi,6,Trump +49.23%,R
Missouri,10,Trump +7.61%,R
Montana,3,Trump +14.33%,R
Nebraska,2,Trump +32.31%,R
Nebraska 1st District,1,Trump +32.35%,R
Nebraska 2nd District,1,Trump +3.78%,R
Nebraska 3rd District,1,Trump +33.5%,R
Nevada,6,Biden +2.9%,D
New Hampshire,4,Biden +14.61%,D
New Jersey,14,Biden +14.47%,D
New Mexico,5,Biden +4.37%,D
New York,29,Biden +21.91%,D
North Carolina,15,Trump +0.55%,R
North Dakota,3,Trump +15.38%,R
Ohio,18,Trump +8.16%,R
Oklahoma,7,Trump +33.72%,R
Oregon,7,Biden +11.91%,D
Pennsylvania,20,Biden +7.98%,D
Rhode Island,4,Biden +25.58%,D
South Carolina,9,Trump +13.97%,R
South Dakota,3,Trump +18.94%,R
Tennessee,11,Trump +13.68%,R
Texas,38,Trump +18.24%,R
Utah,6,Trump +15.17%,R
Vermont,3,Biden +35.77%,D
Virginia,13,Biden +6.61%,D
Washington,12,Biden +18.98%,D
West Virginia,5,Trump +35.23%,R
Wisconsin,10,Biden +11.57%,D
Wyoming,3,Trump +49.85%,R
282,256
