name,ec,margin,winner
Alabama,9,Trump +21.13%,R
Alaska,3,Biden +1.29%,D
Arizona,11,Trump +3.28%,R
Arkansas,6,Trump +23.28%,R
California,55,Biden +27.65%,D
Colorado,9,Biden +5.76%,D
Connecticut,7,Biden +20.96%,D
District of Columbia,3,Biden +78.12%,D
Delaware,3,Biden +28.01%,D
Florida,29,Trump +3.0%,R
Georgia,16,Trump +7.55%,R
Hawaii,4,Biden +36.2%,D
Idaho,4,Trump +24.91%,R
Illinois,20,Biden +15.75%,D
Indiana,11,Trump +14.56%,R
Iowa,6,Trump +6.38%,R
Kansas,6,Trump +24.38%,R
Kentucky,8,Trump +19.23%,R
Louisiana,8,Trump +18.79%,R
Maine,2,Biden +8.23%,D
Maine 1st District,1,Biden +17.01%,D
Maine 2nd District,1,Biden +5.84%,D
Maryland,10,Biden +39.51%,D
Massachusetts,11,Biden +36.76%,D
Michigan,16,Trump +0.43%,R
Minnesota,10,Biden +14.79%,D
Mississippi,6,Trump +50.29%,R
Missouri,10,Trump +9.17%,R
Montana,3,Trump +12.38%,R
Nebraska,2,Trump +32.81%,R
Nebraska 1st District,1,Trump +35.2%,R
Nebraska 2nd District,1,Trump +4.49%,R
Nebraska 3rd District,1,Trump +31.79%,R
Nevada,6,Biden +0.19%,D
New Hampshire,4,Biden +13.25%,D
New Jersey,14,Biden +14.79%,D
New Mexico,5,Biden +4.09%,D
New York,29,Biden +22.02%,D
North Carolina,15,Biden +0.97%,D
North Dakota,3,Trump +15.91%,R
Ohio,18,Trump +8.86%,R
Oklahoma,7,Trump +33.25%,R
Oregon,7,Biden +10.69%,D
Pennsylvania,20,Biden +9.9%,D
Rhode Island,4,Biden +25.77%,D
South Carolina,9,Trump +16.13%,R
South Dakota,3,Trump +18.52%,R
Tennessee,11,Trump +13.68%,R
Texas,38,Trump +18.55%,R
Utah,6,Trump +15.3%,R
Vermont,3,Biden +34.87%,D
Virginia,13,Biden +6.39%,D
Washington,12,Biden +19.94%,D
West Virginia,5,Trump +37.88%,R
Wisconsin,10,Biden +10.54%,D
Wyoming,3,Trump +49.73%,R
281,257
