name,ec,margin,winner
Alabama,9,Trump +21.88%,R
Alaska,3,Biden +3.06%,D
Arizona,11,Trump +3.39%,R
Arkansas,6,Trump +24.78%,R
California,55,Biden +28.99%,D
Colorado,9,Biden +7.51%,D
Connecticut,7,Biden +19.99%,D
District of Columbia,3,Biden +78.83%,D
Delaware,3,Biden +26.25%,D
Florida,29,Trump +2.52%,R
Georgia,16,Trump +8.33%,R
Hawaii,4,Biden +35.98%,D
Idaho,4,Trump +26.32%,R
Illinois,20,Biden +14.99%,D
Indiana,11,Trump +12.78%,R
Iowa,6,Trump +7.08%,R
Kansas,6,Trump +28.09%,R
Kentucky,8,Trump +19.09%,R
Louisiana,8,Trump +17.98%,R
Maine,2,Biden +5.39%,D
Maine 1st District,1,Biden +16.37%,D
Maine 2nd District,1,Biden +6.53%,D
Maryland,10,Biden +41.34%,D
Massachusetts,11,Biden +36.95%,D
Michigan,16,Biden +0.83%,D
Minnesota,10,Biden +13.21%,D
Mississippi,6,Trump +47.15%,R
Missouri,10,Trump +9.6%,R
Montana,3,Trump +14.43%,R
Nebraska,2,Trump +31.87%,R
Nebraska 1st District,1,Trump +34.03%,R
Nebraska 2nd District,1,Trump +4.22%,R
Nebraska 3rd District,1,Trump +31.66%,R
Nevada,6,Trump +0.28%,R
New Hampshire,4,Biden +13.95%,D
New Jersey,14,Biden +14.83%,D
New Mexico,5,Biden +3.78%,D
New York,29,Biden +19.88%,D
North Carolina,15,Trump +0.72%,R
North Dakota,3,Trump +16.16%,R
Ohio,18,Trump +6.73%,R
Oklahoma,7,Trump +34.5%,R
Oregon,7,Biden +12.07%,D
Pennsylvania,20,Biden +9.72%,D
Rhode Island,4,Biden +26.89%,D
South Carolina,9,Trump +14.16%,R
South Dakota,3,Trump +18.93%,R
Tennessee,11,Trump +13.63%,R
Texas,38,Trump +18.17%,R
Utah,6,Trump +14.46%,R
Vermont,3,Biden +34.13%,D
Virginia,13,Biden +7.82%,D
Washington,12,Biden +17.77%,D
West Virginia,5,Trump +37.87%,R
Wisconsin,10,Biden +11.45%,D
Wyoming,3,Trump +49.87%,R
276,262
