name,ec,margin,winner
Alabama,9,Trump +20.63%,R
Alaska,3,Biden +4.49%,D
Arizona,11,Trump +4.5%,R
Arkansas,6,Trump +25.75%,R
California,55,Biden +25.7%,D
Colorado,9,Biden +6.28%,D
Connecticut,7,Biden +18.71%,D
District of Columbia,3,Biden +78.95%,D
Delaware,3,Biden +27.45%,D
Florida,29,Trump +3.59%,R
Georgia,16,Trump +9.46%,R
Hawaii,4,Biden +37.32%,D
Idaho,4,Trump +24.24%,R
Illinois,20,Biden +16.77%,D
Indiana,11,Trump +14.27%,R
Iowa,6,Trump +9.02%,R
Kansas,6,Trump +26.79%,R
Kentucky,8,Trump +18.97%,R
Louisiana,8,Trump +17.19%,R
Maine,2,Biden +8.62%,D
Maine 1st District,1,Biden +15.44%,D
Maine 2nd District,1,Biden +6.18%,D
Maryland,10,Biden +41.04%,D
Massachusetts,11,Biden +38.25%,D
Michigan,16,Trump +0.58%,R
Minnesota,10,Biden +12.98%,D
Mississippi,6,Trump +48.72%,R
Missouri,10,Trump +8.03%,R
Montana,3,Trump +12.37%,R
Nebraska,2,Trump +31.42%,R
Nebraska 1st District,1,Trump +31.82%,R
Nebraska 2nd District,1,Trump +4.48%,R
Nebraska 3rd District,1,Trump +32.23%,R
Nevada,6,Trump +0.78%,R
New Hampshire,4,Biden +14.61%,D
New Jersey,14,Biden +13.92%,D
New Mexico,5,Biden +4.8%,D
New York,29,Biden +22.59%,D
North Carolina,15,Trump +1.34%,R
North Dakota,3,Trump +15.94%,R
Ohio,18,Trump +9.31%,R
Oklahoma,7,Trump +33.48%,R
Oregon,7,Biden +9.12%,D
Pennsylvania,20,Biden +7.65%,D
Rhode Island,4,Biden +26.52%,D
South Carolina,9,Trump +15.53%,R
South Dakota,3,Trump +17.39%,R
Tennessee,11,Trump +13.72%,R
Texas,38,Trump +18.63%,R
Utah,6,Trump +14.4%,R
Vermont,3,Biden +35.39%,D
Virginia,13,Biden +7.38%,D
Washington,12,Biden +18.62%,D
West Virginia,5,Trump +36.89%,R
Wisconsin,10,Biden +12.1%,D
Wyoming,3,Trump +47.99%,R
260,278
